cell_id,seed,structure,capacity,support_intensity,pre_bottleneck,migrated,first_migration,delta_cap_h7,delta_cap_h30,delta_cap_h90,delta_cap_h180,delta_cap_h360,q_on_h360,q_off_h360,delta_q_h360,bott_on_h360,bott_off_h360,same_terminal_bottleneck,common_bottleneck,I_on,I_off,D_on,D_off,delta_I,delta_D,delta_log_I,delta_log_D,delta_log_q_decomp,q_off,q_on_observed,q_on_control_demand,q_off_supported_demand,observed_effect,production_only_effect,demand_only_effect,residual_nonadditivity
phase_061,2026200006,logistics_constrained,0.6,1.0,logistics,False,,0.027971254,0.0,0.0,0.0,0.0,0.90937432,1.0,-0.09062568000000004,logistics,logistics,True,logistics,13546.439878331,13546.439878331,14896.439878332,13546.439878331,0.0,1350.0000000009986,0.0,0.09499847686487786,-0.09499847686487786,1.0,0.909374319567142,1.0,0.909374319567142,-0.09062568043285801,0.0,-0.09062568043285801,0.0
phase_061,2026200007,logistics_constrained,0.6,1.0,logistics,False,,0.008041823000000003,0.02213476000000003,0.02651782299999994,0.022422217999999994,0.01596156400000004,0.925510538,1.0,-0.07448946199999995,logistics,logistics,True,logistics,16773.368931663,16773.368931663,18123.368935214,16773.368937531,0.0,1349.9999976830004,0.0,0.0774097605215036,-0.0774097605215036,0.9999999996501598,0.9255105378929893,0.9999999996501598,0.9255105378929893,-0.07448946175717053,0.0,-0.07448946175717053,0.0
phase_061,2026200008,logistics_constrained,0.6,1.0,logistics,False,,0.007700832000000046,0.021009198000000007,0.025601478999999983,0.022671262000000025,0.017068578000000056,0.929524914,1.0,-0.07047508599999996,logistics,logistics,True,logistics,17805.70559603,17805.70559603,19155.705598122,17805.70560115,0.0,1349.999996972001,0.0,0.07308166838457933,-0.07308166838457933,0.9999999997124517,0.9295249138604242,0.9999999997124517,0.9295249138604242,-0.07047508585202744,0.0,-0.07047508585202744,0.0
phase_061,2026200009,logistics_constrained,0.6,1.0,logistics,False,,0.007573009999999991,0.02078906799999991,0.025170682000000055,0.021761007000000054,0.015713801999999943,0.926939733,1.0,-0.07306026700000001,logistics,logistics,True,logistics,17127.895841282,17127.895841282,18477.895845005,17127.895847355,0.0,1349.9999976500003,0.0,0.07586672810195853,-0.07586672810195853,0.9999999996454321,0.9269397330168446,0.9999999996454321,0.9269397330168446,-0.07306026662858744,0.0,-0.07306026662858744,0.0
phase_007,2026200000,forcegen_constrained,0.1,2.0,logistics,False,,0.00837091000000001,0.02986769300000003,0.06152549600000001,0.08109618500000004,0.11490356300000004,0.927493495,0.999999994,-0.07250649899999995,logistics,logistics,True,logistics,34011.933979503,34011.624703855,36670.805942848,34011.624903515,0.3092756480036769,2659.1810393329943,9.093192240914191e-06,0.07527858499764725,-0.07526949180540633,0.999999994129654,0.9274934953028061,1.0,0.9274850614644965,-0.0725064988268479,5.870345987091241e-09,-0.07251493266515752,8.427967963631211e-06
phase_061,2026200010,logistics_constrained,0.6,1.0,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.920171453,1.0,-0.07982854699999997,logistics,logistics,True,logistics,15561.243583309,15561.243583309,16911.24358331,15561.243583309,0.0,1350.0000000009986,0.0,0.08319526413898422,-0.08319526413898422,1.0,0.9201714531902706,1.0,0.9201714531902706,-0.0798285468097294,0.0,-0.0798285468097294,0.0
phase_061,2026200011,logistics_constrained,0.6,1.0,logistics,False,,0.007826294999999983,0.021417261999999937,0.026211953999999982,0.023754794999999995,0.01911967400000003,0.927549875,1.0,-0.07245012500000003,logistics,logistics,True,logistics,17283.508373103,17283.508373103,18633.508375564,17283.508377275,0.0,1349.9999982890004,0.0,0.07520871162605418,-0.07520871162605418,0.9999999997586138,0.9275498754581616,0.9999999997586138,0.9275498754581616,-0.07245012430045217,0.0,-0.07245012430045217,0.0
phase_062,2026200000,logistics_constrained,0.6,1.5,logistics,False,,0.002591235000000025,0.011696680000000015,0.025721618999999918,0.022867491999999934,0.016341068000000014,0.899372638,0.999999995,-0.10062735700000003,logistics,logistics,True,logistics,18098.752403216,18098.752403216,20123.752532806,18098.752484806,0.0,2025.0000480000017,0.0,0.10605782303082509,-0.10605782303082509,0.9999999954919546,0.8993726380659463,0.9999999954919546,0.8993726380659463,-0.10062735742600837,0.0,-0.10062735742600837,0.0
phase_062,2026200001,logistics_constrained,0.6,1.5,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.87891171,1.0,-0.12108828999999999,logistics,logistics,True,logistics,14698.334650762,14698.334650762,16723.334650759,14698.334650762,0.0,2024.9999999969987,0.0,0.12907083030255415,-0.12907083030255415,1.0,0.8789117097584905,1.0,0.8789117097584905,-0.12108829024150947,0.0,-0.12108829024150947,0.0
phase_062,2026200002,logistics_constrained,0.6,1.5,logistics,False,,0.01011664999999995,0.028087385999999936,0.033983131000000055,0.02911903700000007,0.020296764999999994,0.898446969,1.0,-0.10155303100000002,logistics,logistics,True,logistics,17915.320714222,17915.320714222,19940.320720265,17915.320722502,0.0,2024.9999977629996,0.0,0.1070875956175658,-0.1070875956175658,0.9999999995378258,0.8984469691109318,0.9999999995378258,0.8984469691109318,-0.10155303042689401,0.0,-0.10155303042689401,0.0
