cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_067,logistics_constrained,0.8,0.75,2026200009,30,0.834910073,0.657406448,0.664954608,-0.16995546500000003,-0.17750362499999994,0.007548159999999915
phase_067,logistics_constrained,0.8,0.75,2026200009,90,0.856430519,0.77718518,0.777496438,-0.07893408099999999,-0.07924533899999997,0.00031125799999998094
phase_067,logistics_constrained,0.8,0.75,2026200009,180,0.843313911,0.849581875,0.851221886,0.007907975000000067,0.00626796400000007,0.0016400109999999968
phase_067,logistics_constrained,0.8,0.75,2026200009,360,0.835362414,0.844959509,0.845316903,0.009954488999999955,0.009597095000000055,0.00035739399999989985
phase_067,logistics_constrained,0.8,0.75,2026200010,7,0.0,0.0,0.858965697,0.858965697,0.0,0.858965697
phase_067,logistics_constrained,0.8,0.75,2026200010,30,0.0,0.0,0.748298563,0.748298563,0.0,0.748298563
phase_067,logistics_constrained,0.8,0.75,2026200010,90,0.0,0.0,0.0,0.0,0.0,0.0
phase_067,logistics_constrained,0.8,0.75,2026200010,180,0.0,0.0,0.0,0.0,0.0,0.0
phase_067,logistics_constrained,0.8,0.75,2026200010,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_067,logistics_constrained,0.8,0.75,2026200011,7,0.884819282,0.90172203,0.901722633,0.016903350999999955,0.016902747999999912,6.030000000434299e-07
phase_067,logistics_constrained,0.8,0.75,2026200011,30,0.883191835,0.839783143,0.835884844,-0.04730699100000002,-0.04340869199999997,-0.0038982990000000495
phase_067,logistics_constrained,0.8,0.75,2026200011,90,0.889931789,0.836281511,0.829606362,-0.06032542699999999,-0.053650277999999996,-0.006675148999999991
phase_067,logistics_constrained,0.8,0.75,2026200011,180,0.884115219,0.829672845,0.833510406,-0.05060481299999997,-0.05444237399999996,0.0038375609999999893
phase_067,logistics_constrained,0.8,0.75,2026200011,360,0.864030882,0.834415165,0.833933391,-0.030097491000000032,-0.029615716999999986,-0.0004817740000000459
phase_068,logistics_constrained,0.8,1.0,2026200000,7,0.823153716,0.834434016,0.836549036,0.013395319999999988,0.01128030000000002,0.0021150199999999675
phase_068,logistics_constrained,0.8,1.0,2026200000,30,0.522322822,0.560856075,0.583283804,0.060960982,0.03853325299999999,0.022427729000000007
phase_068,logistics_constrained,0.8,1.0,2026200000,90,0.0,0.0,0.185301376,0.185301376,0.0,0.185301376
phase_068,logistics_constrained,0.8,1.0,2026200000,180,0.0,0.0,0.0,0.0,0.0,0.0
phase_068,logistics_constrained,0.8,1.0,2026200000,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_068,logistics_constrained,0.8,1.0,2026200001,7,0.852596307,0.902647024,0.902647836,0.050051528999999984,0.05005071699999997,8.120000000166883e-07
phase_068,logistics_constrained,0.8,1.0,2026200001,30,0.870286315,0.902925019,0.902926272,0.032639957,0.03263870400000002,1.2529999999788544e-06
phase_068,logistics_constrained,0.8,1.0,2026200001,90,0.867692426,0.902979288,0.903690649,0.035998222999999996,0.035286862000000085,0.0007113609999999104
phase_068,logistics_constrained,0.8,1.0,2026200001,180,0.141004,0.751126386,0.782205754,0.641201754,0.610122386,0.031079367999999996
phase_068,logistics_constrained,0.8,1.0,2026200001,360,0.0,0.746878963,0.754060106,0.754060106,0.746878963,0.007181142999999945
phase_068,logistics_constrained,0.8,1.0,2026200002,7,0.904271273,0.87594496,0.879379484,-0.024891788999999998,-0.028326312999999992,0.0034345239999999944
phase_068,logistics_constrained,0.8,1.0,2026200002,30,0.904730112,0.825283753,0.828923394,-0.07580671799999994,-0.07944635899999997,0.0036396410000000268
phase_068,logistics_constrained,0.8,1.0,2026200002,90,0.905598815,0.829898513,0.833519787,-0.07207902799999999,-0.075700302,0.0036212740000000077
