factor_target,factor_severity,factor_assistance_mode,factor_intensity,n,mean_delta_composite_capability_h30,median_delta_composite_capability_h30,delta_composite_capability_h30_boot95_lo,delta_composite_capability_h30_boot95_hi,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,mean_relevant_delta_indigenous_h360,median_relevant_delta_indigenous_h360,relevant_delta_indigenous_h360_boot95_lo,relevant_delta_indigenous_h360_boot95_hi,mean_relevant_delta_demand_h360,median_relevant_delta_demand_h360,relevant_delta_demand_h360_boot95_lo,relevant_delta_demand_h360_boot95_hi,mean_relevant_delta_coverage_capped_h360,median_relevant_delta_coverage_capped_h360,relevant_delta_coverage_capped_h360_boot95_lo,relevant_delta_coverage_capped_h360_boot95_hi,mean_delta_cum_interval_donor_cost_h360,median_delta_cum_interval_donor_cost_h360,delta_cum_interval_donor_cost_h360_boot95_lo,delta_cum_interval_donor_cost_h360_boot95_hi
forcegen,severe,none,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
forcegen,severe,substitution,0.5,12,2.3683333334282666e-07,2.4099999995641497e-07,1.949166666859644e-07,2.7716666666441345e-07,0.0,0.0,0.0,0.0,-58.38001649658333,-58.3596935335,-58.43736000593334,-58.32337589273542,0.0,0.0,0.0,0.0,,,,,40697.179853532005,40681.617757952496,40657.57987307938,40736.03882108342
forcegen,severe,substitution,1.0,12,2.633333333242523e-07,2.6799999996995894e-07,2.1774791665180036e-07,3.0800000000464715e-07,0.0,0.0,0.0,0.0,-61.34069467125,-61.3164424085,-61.40037865747084,-61.28122937445,0.0,0.0,0.0,0.0,,,,,42306.08138653066,42290.2283786995,42265.412757526894,42348.152050908335
logistics,moderate,development,0.5,12,0.07422501033333333,0.0,-0.009292399333333317,0.22794395214375,-0.009841236999999966,-0.00728526449999995,-0.013958376685416617,-0.006008482195833317,450846.91058287374,465725.46036687854,418946.9685965504,477832.86352011876,500847.3229993982,515891.8559662425,468639.71011924656,527893.5219434256,-0.024270572192861006,-0.023219819057010094,-0.026182358128400675,-0.022676453019828423,2211120.0,2211120.0,2211120.0,2211120.0
logistics,moderate,development,1.0,12,0.07770063883333331,0.018985146,0.011250000083333324,0.20048222182708333,-0.057746399749999976,-0.00757438599999995,-0.1146200726770833,-0.006568204499999976,1249115.468517942,1294461.0206645392,1158298.533740148,1323809.4338953323,1164705.5012811522,1176070.5175178042,1114909.4039510489,1209470.2560652576,-0.005018133675216169,0.0006886358070624099,-0.011082341514206392,0.0008342210409211409,4422240.0,4422240.0,4422240.0,4422240.0
logistics,moderate,hybrid,0.5,12,0.03463349199999996,0.024375411,0.014888990749999975,0.05629818896458325,-0.07460515649999998,-0.07279920100000001,-0.08057354754374998,-0.06952759248541665,188587.99806243414,197132.16931738704,174728.54963685354,201471.10948210635,342230.86876898375,351578.23222301854,327423.5805463286,355715.4103475069,-0.08720730482552695,-0.0832474939282607,-0.0934060404808132,-0.08179465136498604,2185560.0,2185560.0,2185560.0,2185560.0
logistics,moderate,hybrid,1.0,12,0.09567973091666665,0.0,0.009502738416666658,0.249352897,-0.08302544933333326,-0.07504820599999995,-0.0949649985416666,-0.07257099432916658,444411.2499541384,458259.434388879,413925.3855571162,474366.16639401997,703784.5325617007,714361.964828008,673071.9842795867,733086.9853754085,-0.11502808093940088,-0.10914414999848987,-0.12363767365265212,-0.10740792550983218,4371120.0,4371120.0,4371120.0,4371120.0
logistics,moderate,none,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistics,moderate,substitution,0.5,12,0.06817669008333332,0.0,0.011027910333333333,0.13545737958333331,-0.1414654458333333,-0.13522546649999995,-0.15124479999791662,-0.1326605051604166,0.0,0.0,0.0,0.0,212150.59449747406,212175.99989215704,211793.4100849773,212493.1001333704,-0.13856453201014987,-0.13209723993900857,-0.14836816807465897,-0.1295281560682818,2160000.0,2160000.0,2160000.0,2160000.0
logistics,moderate,substitution,1.0,12,0.11839942475,0.0,0.019279381416666658,0.27277703524999997,-0.2430235663333333,-0.23445880699999994,-0.25762178728333335,-0.23078638861666662,0.0,0.0,0.0,0.0,423592.7297056404,423312.4309307445,423055.62729619414,424178.1878385736,-0.23706285837062913,-0.2276731458412926,-0.2516521122711802,-0.2249097568016361,4320000.0,4320000.0,4320000.0,4320000.0
logistics,severe,development,0.5,12,0.0,0.0,0.0,0.0,-0.03553551149999998,-0.034674386,-0.04200359424999997,-0.028688699064583302,172858.50033968966,181384.4836404955,162020.40192961026,182358.38337310572,209928.73680699416,218681.45431029052,198070.34761420847,220367.8803353772,-0.04366041930413616,-0.04363039111759043,-0.04538564389498487,-0.04197781344033598,2211120.0,2211120.0,2211120.0,2211120.0
logistics,severe,development,1.0,12,0.0,0.0,0.0,0.0,-0.027482523499999925,-0.02924797099999995,-0.031165413527083265,-0.023269425912499902,472475.4652698554,493462.6248478785,443221.7115289928,498845.1123529642,517251.51456041844,539120.8967146284,486226.34671264957,544199.5346713454,-0.03506614831676306,-0.034730151640270324,-0.0366032774121383,-0.033663920807984145,4422240.0,4422240.0,4422240.0,4422240.0
logistics,severe,hybrid,0.5,12,0.07517021383333333,0.0,0.0,0.2255106415,-0.15957841391666666,-0.155602735,-0.16690320168125,-0.1532223127375,72466.36882766016,75963.23066307447,68051.9595611923,76447.58446198485,213089.1508056616,216540.85022259294,207729.20301964702,218072.53278944243,-0.18074984720002893,-0.17344930444027884,-0.1893937416361324,-0.17350122852801994,2185560.0,2185560.0,2185560.0,2185560.0
