factor_structure,factor_capacity_level,factor_capacity_level_index,factor_support_intensity,n,mean_delta_capability_h30,median_delta_capability_h30,delta_capability_h30_boot95_lo,delta_capability_h30_boot95_hi,delta_capability_h30_q10,delta_capability_h30_q90,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,delta_q_feasible_h360_q10,delta_q_feasible_h360_q90,effective_seed_count,effective_seed_fraction,effective_seed_fraction_wilson95_lo,effective_seed_fraction_wilson95_hi,trap_seed_count,trap_seed_fraction,trap_seed_fraction_wilson95_lo,trap_seed_fraction_wilson95_hi,build_seed_count,build_seed_fraction,build_seed_fraction_wilson95_lo,build_seed_fraction_wilson95_hi,trap_fraction_among_effective,trap_among_effective_wilson95_lo,trap_among_effective_wilson95_hi,build_fraction_among_effective,build_among_effective_wilson95_lo,build_among_effective_wilson95_hi,phase_regime,robust_phase_regime
balanced_capacity,1.0,5,0.5,12,0.006889955333333295,0.0036379859999999,0.002515411174999951,0.011856461889583291,2.6779999999893003e-06,0.021383268399999992,-0.0015463631666666198,-0.026269867499999898,-0.06817751021458326,0.06651856122083336,-0.032084486199999894,0.1978005753000001,12,1.0,0.7575059933447592,1.0,9,0.75,0.46769466506643426,0.9110583316059453,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.75,0.46769466506643426,0.9110583316059453,0.16666666666666666,0.04696514218385378,0.4480308622529734,effective_autonomy_trap,effective_autonomy_direction_uncertain
balanced_capacity,1.0,5,0.75,12,0.010459746999999969,0.005199764,0.003923804072916639,0.017932812860416616,4.099200000073911e-06,0.03136042039999991,0.006413370916666698,-0.03885475649999991,-0.08275826249374994,0.09990418047499999,-0.1400574534999999,0.2236949853,11,0.9166666666666666,0.646120088858883,0.9851349055950829,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.7272727272727273,0.43435469882387084,0.902539407099751,0.18181818181818182,0.05136768974608513,0.4769805619608442,effective_autonomy_building,effective_autonomy_direction_uncertain
balanced_capacity,1.0,5,1.0,12,0.01641985624999995,0.0070068164999999,0.0050483815083333,0.03249294882499993,4.101900000019753e-06,0.0392069231,-0.09275697283333333,-0.052190318,-0.1894702747375,0.011156694870833357,-0.3206526975,0.07429956840000004,12,1.0,0.7575059933447592,1.0,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.16666666666666666,0.04696514218385378,0.4480308622529734,effective_autonomy_trap,effective_autonomy_direction_uncertain
balanced_capacity,1.0,5,1.5,12,0.014296550499999965,0.0084758239999999,0.0016467383520833239,0.02815586793333331,0.000610580099999988,0.05558695110000002,-0.15250820074999996,-0.07841104999999995,-0.21922991158125,-0.09043974966874994,-0.3124506506,-0.057469598599999915,11,0.9166666666666666,0.646120088858883,0.9851349055950829,11,0.9166666666666666,0.646120088858883,0.9851349055950829,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.7411670330319684,1.0,0.0,0.0,0.2588329669680317,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,1.0,5,2.0,12,0.03264077874999993,0.01349385949999995,0.011504066914583302,0.0606700350416666,0.0007165425000000417,0.07956860119999991,-0.07884640374999995,-0.0962221355,-0.11420623497708329,-0.030239734720833297,-0.15174940449999996,-0.058018274899999896,12,1.0,0.7575059933447592,1.0,11,0.9166666666666666,0.646120088858883,0.9851349055950829,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.9166666666666666,0.646120088858883,0.9851349055950829,0.08333333333333333,0.014865094404917095,0.35387991114111694,effective_autonomy_trap,robust_effective_autonomy_trap
command_constrained,0.2,1,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
command_constrained,0.2,1,0.25,12,0.002361285333333313,0.001288618,0.0011372991187499875,0.003669313939583319,2.0760000001285312e-07,0.00583973839999999,-0.10859133966666663,-0.0131436605,-0.27350490277499995,0.022327195652083284,-0.3817447281,0.13260300209999995,9,0.75,0.46769466506643426,0.9110583316059453,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.7777777777777778,0.45258896910698887,0.9367748928821533,0.2222222222222222,0.06322510711784671,0.5474110308930111,effective_autonomy_trap,effective_autonomy_direction_uncertain
command_constrained,0.2,1,0.5,12,0.005612545749999909,0.00275303499999995,0.0027901729645832354,0.008913297252083242,0.0016054681999999,0.0124452579999999,-0.023959156666666617,-0.0200177154999999,-0.07529176356458327,0.023736749375000043,-0.07918163499999999,0.002275031700000001,12,1.0,0.7575059933447592,1.0,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,2,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.16666666666666666,0.04696514218385378,0.4480308622529734,effective_autonomy_trap,effective_autonomy_direction_uncertain
command_constrained,0.2,1,0.75,12,0.0038081458333333335,0.004318552,-0.0034051234791666577,0.009569037370833325,-0.0018320130999999094,0.013947276500000001,0.010454827416666682,-0.011881898,-0.018823636279166646,0.05071611216666668,-0.03443788889999999,0.08207535810000001,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,4,0.3333333333333333,0.13812009109121315,0.6093779111272004,3,0.25,0.08894166839405471,0.5323053349335657,0.4,0.16818032970623614,0.6873262302663417,0.3,0.10779126740630099,0.6032218525388546,effective_autonomy_building,uncertain_or_mixed
command_constrained,0.2,1,1.0,12,0.01065086316666662,0.006014284499999949,0.0046934398166666395,0.01728158473541662,0.00032858909999995147,0.0261282083,0.07963990500000002,-0.03185942699999995,-0.01591120202916662,0.22268326832708332,-0.0365421951999999,0.1828873299,11,0.9166666666666666,0.646120088858883,0.9851349055950829,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,4,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.6363636363636364,0.35380117450784887,0.8483352890463243,0.36363636363636365,0.15166471095367573,0.6461988254921511,effective_autonomy_building,effective_autonomy_direction_uncertain
