factor_starting_structure,factor_support_target,factor_support_intensity,observed_target_match,n,persistent_migration_count,persistent_migration_fraction,persistent_migration_wilson95_lo,persistent_migration_wilson95_hi,median_migration_time_days_among_migrated,mean_bottleneck_path_entropy,mean_delta_capability_h30,mean_delta_q_feasible_h360,mean_delta_smooth_q_arithmetic_h360,mean_delta_smooth_q_geometric_h360,mean_delta_smooth_q_harmonic_h360,sign_concordance_arithmetic,sign_concordance_geometric,sign_concordance_harmonic
logistics_constrained,balanced,1.0,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,-0.15796311816666664,-0.15796311806678384,-0.15796311806678387,-0.1579631180667838,1.0,1.0,1.0
logistics_constrained,balanced,1.5,False,12,3,0.25,0.08894166839405471,0.5323053349335657,7.0,0.0,0.0,-0.22079102916666662,-0.22079102908343137,-0.2207910290834314,-0.22079102908343132,1.0,1.0,1.0
logistics_constrained,command,0.5,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,command,1.0,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,command,1.5,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,0.5,False,8,0,0.0,0.0,0.32440756488388023,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,0.5,True,4,4,1.0,0.5101091635454027,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,1.0,False,8,0,0.0,0.0,0.32440756488388023,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,1.0,True,4,4,1.0,0.5101091635454027,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,1.5,False,8,0,0.0,0.0,0.32440756488388023,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,forcegen,1.5,True,4,4,1.0,0.5101091635454027,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,logistics,0.5,True,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,,0.0,0.0,-0.20116701166666662,-0.2011670117648525,-0.2011670117648526,-0.2011670117648525,1.0,1.0,1.0
logistics_constrained,logistics,1.0,True,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,,0.0,0.0,-0.33914298549999994,-0.3391429856878179,-0.33914298568781803,-0.33914298568781787,1.0,1.0,1.0
logistics_constrained,logistics,1.5,True,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,,0.0,0.0,-0.43354440683333334,-0.4335444071500003,-0.4335444071500003,-0.43354440715000025,1.0,1.0,1.0
logistics_constrained,none,0.0,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
