factor_target,factor_severity,factor_intensity,contrast,n_matched_seeds,mean_delta_composite_capability_h30,median_delta_composite_capability_h30,delta_composite_capability_h30_boot95_lo,delta_composite_capability_h30_boot95_hi,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,mean_relevant_delta_indigenous_h360,median_relevant_delta_indigenous_h360,relevant_delta_indigenous_h360_boot95_lo,relevant_delta_indigenous_h360_boot95_hi,mean_relevant_delta_demand_h360,median_relevant_delta_demand_h360,relevant_delta_demand_h360_boot95_lo,relevant_delta_demand_h360_boot95_hi,mean_relevant_delta_coverage_capped_h360,median_relevant_delta_coverage_capped_h360,relevant_delta_coverage_capped_h360_boot95_lo,relevant_delta_coverage_capped_h360_boot95_hi,mean_delta_cum_interval_donor_cost_h360,median_delta_cum_interval_donor_cost_h360,delta_cum_interval_donor_cost_h360_boot95_lo,delta_cum_interval_donor_cost_h360_boot95_hi
forcegen,moderate,1.0,development_minus_substitution,12,-3.305833333281753e-07,-3.1599999994469385e-07,-4.030020833246939e-07,-2.5874791666745854e-07,0.0,0.0,0.0,0.0,673.8548301120834,681.0187808095001,654.3266457761522,691.3082443612625,0.0,0.0,0.0,0.0,,,,,500243.2246835907,499991.0658669975,498525.05078740156,501986.9408569404
forcegen,moderate,1.0,hybrid_minus_substitution,12,-1.6666666565375529e-09,-2.999999970665357e-09,-4.083333328871091e-09,2.4166666540611154e-09,0.0,0.0,0.0,0.0,22.966832715750012,22.517602525,21.220039905633346,24.633329396370836,0.0,0.0,0.0,0.0,,,,,307792.1830688879,308078.5889740245,306970.9859921497,308475.0048189964
forcegen,severe,0.5,development_minus_substitution,12,-2.3583333333410117e-07,-2.399999998736746e-07,-2.7541666664960644e-07,-1.9566666668371923e-07,0.0,0.0,0.0,0.0,120.63160884783333,120.779315196,120.27859785726457,120.92010397551249,0.0,0.0,0.0,0.0,,,,,256302.82014646803,256318.38224204752,256263.25572505654,256341.278876555
forcegen,severe,0.5,hybrid_minus_substitution,12,-4.7416666639395664e-08,-4.7999999919223755e-08,-5.549999998466504e-08,-3.883333330826726e-08,0.0,0.0,0.0,0.0,11.975566279749998,11.998733305499997,11.921767199670834,12.011123814018752,0.0,0.0,0.0,0.0,,,,,149141.26244660243,149171.7021001345,149085.1899949194,149172.13565966234
forcegen,severe,1.0,development_minus_substitution,12,-2.605833333187609e-07,-2.649999999992936e-07,-3.050833333277196e-07,-2.1533333333101368e-07,0.0,0.0,0.0,0.0,263.55356866858335,262.9584463765,260.9501618888812,265.99974238572713,0.0,0.0,0.0,0.0,,,,,551693.9186134693,551709.7716213006,551651.9957486393,551734.6199743367
forcegen,severe,1.0,hybrid_minus_substitution,12,5.750000013164207e-09,5.999999996841891e-09,4.666666654958479e-09,6.833333343614372e-09,0.0,0.0,0.0,0.0,2.8975599653333326,2.9264398169999986,2.7770254167437485,2.999196083620834,0.0,0.0,0.0,0.0,,,,,310674.17359204445,310769.0950517425,310470.78060871724,310814.41673018876
logistics,moderate,0.5,development_minus_substitution,12,0.006048320250000012,0.0,-0.13184873040833334,0.19553042756874997,0.1316242088333333,0.1246413185,0.12453692827499999,0.1398402010875,450846.91058287374,465725.46036687854,419185.1031796429,478025.52098101686,288696.7285019242,304226.17114655895,257330.4882646212,315396.28580720496,0.11429395981728889,0.10880283723518008,0.10694437306274118,0.12260715439950023,51120.0,51120.0,51120.0,51120.0
logistics,moderate,0.5,hybrid_minus_substitution,12,-0.03354319808333337,0.0,-0.08738281163541672,0.008264320010416553,0.06686028933333331,0.06757232599999993,0.06123835467916667,0.07238816157291666,188587.99806243414,197132.16931738704,174990.74667771402,201080.48102872938,130080.27427150968,139893.4993954905,114868.90561656358,144080.29830211372,0.05135722718462294,0.04938958406962579,0.047849696957164456,0.05526876994313996,25560.0,25560.0,25560.0,25560.0
logistics,moderate,1.0,development_minus_substitution,12,-0.04069878591666667,0.0,-0.23464237111041672,0.1502489404145833,0.1852771665833333,0.23445880699999994,0.12356365862916666,0.23979489818749994,1249115.468517942,1294461.0206645392,1160452.0735467256,1323849.8095555834,741112.7715755118,753551.4395936766,691161.9259867099,785935.0119924813,0.23204472469541293,0.22852569156097757,0.22393167961421265,0.24124785800457343,102240.0,102240.0,102240.0,102240.0
logistics,moderate,1.0,hybrid_minus_substitution,12,-0.02271969383333335,0.0,-0.2362954714166667,0.2040214713916666,0.15999811700000002,0.16117043500000006,0.14857041109166672,0.1689945684416667,444411.2499541384,458259.434388879,412909.7975902616,474672.9050622851,280191.80285606015,290525.5713828015,249349.49510106366,309226.4759963734,0.12203477743122819,0.1211079775526499,0.11395896951720072,0.1299968645128464,51120.0,51120.0,51120.0,51120.0
