cell_id,scenario,mode,seed,source_cell_id,source_structure,source_capacity,source_intensity,delta_capability_h7,delta_q_h7,bottleneck_on_h7,bottleneck_off_h7,logistics_demand_on_h7,logistics_demand_off_h7,logistics_indigenous_on_h7,logistics_indigenous_off_h7,delta_capability_h30,delta_q_h30,bottleneck_on_h30,bottleneck_off_h30,logistics_demand_on_h30,logistics_demand_off_h30,logistics_indigenous_on_h30,logistics_indigenous_off_h30,delta_capability_h90,delta_q_h90,bottleneck_on_h90,bottleneck_off_h90,logistics_demand_on_h90,logistics_demand_off_h90,logistics_indigenous_on_h90,logistics_indigenous_off_h90,delta_capability_h180,delta_q_h180,bottleneck_on_h180,bottleneck_off_h180,logistics_demand_on_h180,logistics_demand_off_h180,logistics_indigenous_on_h180,logistics_indigenous_off_h180,delta_capability_h360,delta_q_h360,bottleneck_on_h360,bottleneck_off_h360,logistics_demand_on_h360,logistics_demand_off_h360,logistics_indigenous_on_h360,logistics_indigenous_off_h360
ablation_m2_normal,M2,normal,2026240007,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,323797.656189324,323797.656189324,247880.234267604,247880.234267604,0.0,0.0,logistics,logistics,323797.656189324,323797.656189324,247880.234267604,247880.234267604,0.0,0.0,logistics,logistics,323797.656189324,323797.656189324,247880.234267604,247880.234267604,0.0,0.0,logistics,logistics,323797.656189324,323797.656189324,247880.234267604,247880.234267604,0.0,0.0,logistics,logistics,323797.656189324,323797.656189324,247880.234267604,247880.234267604
ablation_m2_normal,M2,normal,2026240008,phase_110,balanced_capacity,0.4,1.0,0.032007726000000014,0.0,logistics,logistics,316009.469045462,316009.469045462,249499.498278608,249499.498278608,0.08693386699999994,0.0,logistics,logistics,316009.469045462,316009.469045462,249499.498278608,249499.498278608,0.10607065500000001,0.0,logistics,logistics,316009.469045462,316009.469045462,249499.498278608,249499.498278608,0.11316178799999999,0.0,logistics,logistics,316009.469045462,316009.469045462,249499.498278608,249499.498278608,0.13632754000000002,0.0,logistics,logistics,316009.469045462,316009.469045462,249499.498278608,249499.498278608
ablation_m2_normal,M2,normal,2026240009,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,328763.319296272,328763.319296272,240570.895384376,240570.895384376,0.0,0.0,logistics,logistics,328763.319296272,328763.319296272,240570.895384376,240570.895384376,0.0,0.0,logistics,logistics,328763.319296272,328763.319296272,240570.895384376,240570.895384376,0.0,0.0,logistics,logistics,328763.319296272,328763.319296272,240570.895384376,240570.895384376,0.0,0.0,logistics,logistics,328763.319296272,328763.319296272,240570.895384376,240570.895384376
ablation_m2_normal,M2,normal,2026240010,phase_110,balanced_capacity,0.4,1.0,0.034715654999999956,0.0,logistics,logistics,295338.223453077,295338.223453077,238475.597124291,238475.597124291,0.08625019199999995,0.0,logistics,logistics,295338.223453077,295338.223453077,238475.597124291,238475.597124291,0.10196190599999999,0.0,logistics,logistics,295338.223453077,295338.223453077,238475.597124291,238475.597124291,0.10774925599999996,0.0,logistics,logistics,295338.223453077,295338.223453077,238475.597124291,238475.597124291,0.12706541100000002,0.0,logistics,logistics,295338.223453077,295338.223453077,238475.597124291,238475.597124291
ablation_m2_normal,M2,normal,2026240011,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,forcegen,forcegen,314665.357339162,314665.357339162,253732.315656564,253732.315656564,0.0,0.0,forcegen,forcegen,314665.357339162,314665.357339162,253732.315656564,253732.315656564,0.0,0.0,forcegen,forcegen,314665.357339162,314665.357339162,253732.315656564,253732.315656564,0.0,0.0,forcegen,forcegen,314665.357339162,314665.357339162,253732.315656564,253732.315656564,0.0,0.0,forcegen,forcegen,314665.357339162,314665.357339162,253732.315656564,253732.315656564
ablation_m2_demand_clamped,M2,demand_clamped,2026240000,phase_110,balanced_capacity,0.4,1.0,0.05548799000000004,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,-0.480305174,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.397316441,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051
ablation_m2_demand_clamped,M2,demand_clamped,2026240001,phase_110,balanced_capacity,0.4,1.0,0.02740788499999991,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.0368931549999999,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.761014293,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.73654969,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.682376657,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943
ablation_m2_demand_clamped,M2,demand_clamped,2026240002,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127
ablation_m2_demand_clamped,M2,demand_clamped,2026240003,phase_110,balanced_capacity,0.4,1.0,0.030835356999999952,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.13556605900000007,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.679027813,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.642146826,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.540197169,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441
ablation_m1_normal,M1,normal,2026240003,phase_054,logistics_constrained,0.4,1.0,0.04671128899999999,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,0.1256470019999999,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,0.154907805,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,0.16882197199999993,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,0.25414863300000007,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375
