scenario,seed,days_from_withdrawal,demand_on,demand_off,relative_error
M3,2026240000,168.0,73177.007228401,73647.81299378,0.006392664578088209
M3,2026240000,175.0,74214.604313908,73639.440182689,0.007810544591215027
M3,2026240000,180.0,52570.897210635,52596.198707139,0.0004810518084184551
M3,2026240000,182.0,21050.970387578,21037.892238756,0.0006216472959161575
M3,2026240000,189.0,73167.151844055,73630.635339021,0.00629470997814919
M3,2026240000,196.0,73809.857526287,73628.376395379,0.0024648259243617646
M3,2026240000,203.0,73414.193394591,73626.881444975,0.0028887282227614075
M3,2026240000,210.0,73165.360818539,73625.879754646,0.006254851387061808
M3,2026240000,217.0,74207.346565676,73625.200349486,0.00790688804141315
M3,2026240000,224.0,73606.798443176,73624.734131241,0.0002436095461211391
M3,2026240000,231.0,73154.347629034,73624.410695747,0.006384608885435281
M3,2026240000,238.0,73801.764615879,73624.184063063,0.002411986700781512
M3,2026240000,245.0,73409.192847988,73624.023831362,0.002917946781421273
M3,2026240000,252.0,73162.462990661,73623.90964755,0.006267619569485153
M3,2026240000,259.0,74205.572719622,73623.827718503,0.007901585928719526
M3,2026240000,266.0,73594.712388325,73623.768586715,0.00039465785231809005
M3,2026240000,273.0,73142.903374565,73623.725696023,0.006530806705479992
M3,2026240000,280.0,73794.597581412,73623.694455689,0.002321306027720035
M3,2026240000,287.0,73404.633066054,73623.671622057,0.0029751104662019494
M3,2026240000,294.0,73159.698677221,73623.654884978,0.006301727460852604
M3,2026240000,301.0,74204.112866755,73623.642587704,0.007884291766187839
M3,2026240000,308.0,73593.953797458,73623.63353501,0.0004031278561914886
M3,2026240000,315.0,73142.441970886,73623.626860312,0.006535740087064283
M3,2026240000,322.0,73793.97168268,73623.621932616,0.0023137920356581456
M3,2026240000,329.0,73404.268410393,73623.618290864,0.002979341216352986
M3,2026240000,336.0,73159.282327594,73623.615597173,0.006306852302929154
M3,2026240000,343.0,74203.575530885,73623.613603363,0.0078773901352692
M3,2026240000,350.0,73571.566221228,73623.612126763,0.0007069186641560292
M3,2026240000,357.0,73121.585568636,73623.611032699,0.006818810664421671
M3,2026240000,360.0,31682.564632752,31552.975894962,0.004107021100684549
M3,2026240001,7.0,93314.388704814,93570.637204206,0.002738556742247717
M3,2026240001,14.0,93166.56978897,93033.487705176,0.0014304750587845925
M3,2026240001,21.0,88411.059852316,88669.022281314,0.002909273412078223
M3,2026240001,28.0,87663.369991108,87325.440875112,0.003869767076003487
M3,2026240001,30.0,24932.721518304,24771.479599855,0.006509175917370026
M3,2026240001,35.0,64144.288857585,63763.504168926,0.005971828142477878
M3,2026240001,42.0,85608.727531412,85755.091329995,0.0017067651181173044
M3,2026240001,49.0,84706.826604054,84107.000625038,0.007131700982776988
M3,2026240001,56.0,82984.933876687,82524.340990156,0.005581297360326147
M3,2026240001,63.0,81639.044189229,81322.967390968,0.0038866855010519733
M3,2026240001,70.0,80994.980703329,80441.918109961,0.006875303403531269
M3,2026240001,77.0,82168.706719312,82215.968351555,0.000574847358616592
M3,2026240001,84.0,81167.399373114,81707.520278597,0.006610418522571156
M3,2026240001,90.0,70344.181696311,69956.312359889,0.0055444508627988005
M3,2026240001,91.0,11356.755376047,11286.470416283,0.006227364018302795
M3,2026240001,98.0,78303.705030586,78910.043970588,0.007683926018695348
M3,2026240001,105.0,79030.861764846,78786.427697196,0.0031024895377849324
M3,2026240001,112.0,78408.824443181,78706.621066046,0.0037836286049570127
M3,2026240001,119.0,79263.534045114,78655.354884971,0.007732202861870172
M3,2026240001,126.0,80337.553172316,80851.162864374,0.0063525331468586394
M3,2026240001,133.0,79078.564100797,78554.361504847,0.0066731189192806035
M3,2026240001,140.0,78473.557850046,78588.066877669,0.001457079072847661
M3,2026240001,147.0,78017.208815905,78579.469199272,0.007155309002420814
M3,2026240001,154.0,79033.063690819,78573.963395288,0.005842906170093263
M3,2026240001,161.0,78175.616484301,78570.433326964,0.005025005284367011
M3,2026240001,168.0,79020.535362723,78568.166709944,0.005757658244070473
M3,2026240001,175.0,78365.242770141,78566.708927201,0.002564268757224848
M3,2026240001,180.0,55727.373975171,56118.480633982,0.006969302347329878
M3,2026240001,182.0,22617.875675072,22447.289003231,0.0075994331349521094
M3,2026240001,189.0,80266.608672583,80746.668865526,0.0059452631258693905
M3,2026240001,196.0,81217.107292316,80914.845902055,0.003735549229456194
M3,2026240001,203.0,81031.719297276,80961.734381598,0.0008644196695211055
M3,2026240001,210.0,81390.110201548,80822.719914557,0.007020183032578214
M3,2026240001,217.0,78088.193885803,78564.243505753,0.006059367451493767
M3,2026240001,224.0,78342.450273409,78564.173155242,0.00282218819250942
M3,2026240001,231.0,78837.909415759,78564.127084731,0.0034848262328776914
M3,2026240001,238.0,78290.226527882,78564.096833004,0.003485947349514455
M3,2026240001,245.0,77955.086130005,78564.076913595,0.007751517073888156
M3,2026240001,252.0,78010.138802029,78564.063760643,0.007050614900746558
M3,2026240001,259.0,78628.51758693,78564.055050868,0.0008205092776876125
M3,2026240001,266.0,80204.600213951,80660.147821045,0.005647740791458717
M3,2026240001,273.0,79006.620641054,78564.045414479,0.005633304958268361
M3,2026240001,280.0,79160.934384192,78564.042841471,0.007597515620796499
M3,2026240001,287.0,78282.672433763,78564.041118002,0.0035813927114109376
M3,2026240001,294.0,78945.529600261,78564.039960341,0.00485577931217092
M3,2026240001,301.0,78904.995477275,78564.03918058,0.004339851925272234
M3,2026240001,308.0,78300.854570172,78564.038653949,0.003349930684396795
M3,2026240001,315.0,79198.886410867,78564.038297345,0.00808064513078175
M3,2026240001,322.0,78273.408133757,78564.038055252,0.003699274231431503
M3,2026240001,329.0,78669.959260276,78564.037890506,0.0013482169783280548
M3,2026240001,336.0,78482.425610624,78564.037778129,0.0010387980278645248
M3,2026240001,343.0,78013.742225359,78564.037701307,0.007004419478033473
M3,2026240001,350.0,79024.745682709,78564.037648674,0.005864108411729313
M3,2026240001,357.0,78185.132502279,78564.037612544,0.004822882348965466
M3,2026240001,360.0,33402.232713144,33670.301825822,0.007961589238633318
M3,2026240002,7.0,104136.366599692,103568.193618389,0.0054859794445822445
M3,2026240002,14.0,104465.880220237,104492.817936259,0.0002577949045113796
M3,2026240002,21.0,101510.872212654,100794.419052192,0.007108063791617418
M3,2026240002,28.0,97906.721170229,97861.561425028,0.0004614656106379955
M3,2026240002,30.0,27927.377083354,27862.428241413,0.0023310546151345452
M3,2026240002,35.0,69703.505252059,69374.975070819,0.004735571881714277
M3,2026240002,42.0,98112.414125154,98465.735411923,0.003588266367898562
M3,2026240002,49.0,97738.178878358,98015.261983321,0.0028269383701709375
M3,2026240002,56.0,95100.505607035,95197.280590523,0.0010165729828383646
M3,2026240002,63.0,94778.552561311,94849.175962992,0.0007445863494750925
M3,2026240002,70.0,99447.60106637,99366.804079046,0.0008131185064553237
M3,2026240002,77.0,95853.558019394,96426.227794829,0.0059389420133026585
M3,2026240002,84.0,93461.61906033,94027.039506366,0.006013381352900188
M3,2026240002,90.0,79874.210389521,80435.486846874,0.006977970537077857
M3,2026240002,91.0,13291.914397025,13394.374580935,0.007649493695348584
M3,2026240002,98.0,94437.026037511,93685.667617669,0.008019993227868017
M3,2026240002,105.0,94163.314300937,93580.338939669,0.006229677813454331
M3,2026240002,112.0,93821.359695932,93503.449139304,0.0033999874823267017
M3,2026240002,119.0,95513.107204804,95722.522251887,0.002187730140791167
M3,2026240002,126.0,93060.786067446,93406.384742878,0.0036999470259269918
M3,2026240002,133.0,92833.549509228,93376.494829717,0.005814582368712019
M3,2026240002,140.0,92668.307239104,93354.671798816,0.007352225084044432
M3,2026240002,147.0,95477.604507398,95580.012246273,0.0010714346699510317
M3,2026240002,154.0,93055.378867614,93327.085660991,0.002911339097890311
M3,2026240002,161.0,92830.371075036,93318.571380042,0.005231544994594852
M3,2026240002,168.0,92675.849448131,93312.344178534,0.006821120356650671
M3,2026240002,175.0,94058.653240565,93307.787535857,0.008047192249837206
M3,2026240002,180.0,67016.491378028,66646.320140386,0.005554263714219522
M3,2026240002,182.0,26832.454427194,26658.131577522,0.0065391998372079626
M3,2026240002,189.0,93600.316786241,93302.008506374,0.003197233206899596
M3,2026240002,196.0,93221.122497548,93300.218247443,0.0008477552505314613
M3,2026240002,203.0,92946.407242688,93298.905864548,0.0037781645839636657
M3,2026240002,210.0,92748.673707024,93297.943391267,0.005887264652121097
M3,2026240002,217.0,92597.685171896,93297.237246846,0.00749810064685113
M3,2026240002,224.0,93399.066223245,93296.71896206,0.001097008151236504
M3,2026240002,231.0,93031.858827931,93296.338416228,0.002834833529233001
M3,2026240002,238.0,93652.908952546,93296.058902747,0.003824920945170767
M3,2026240002,245.0,93218.607764309,93295.853526692,0.0008279656540244602
M3,2026240002,252.0,95062.534091746,95579.64294474,0.0054102404765518156
M3,2026240002,259.0,92785.974653891,93295.591585801,0.005462390272120439
M3,2026240002,266.0,95587.623604666,95579.450328501,8.551290195658631e-05
M3,2026240002,273.0,93366.420993874,93295.449903638,0.0007607133071258956
M3,2026240002,280.0,95289.302681185,95579.346081096,0.003034582384199438
M3,2026240002,287.0,93762.271632131,93295.373178358,0.005004518850901678
M3,2026240002,294.0,93299.709046052,93295.349225195,4.673138471758247e-05
M3,2026240002,301.0,93957.816380375,93295.331583751,0.007100942623579122
M3,2026240002,308.0,95384.616911797,95536.59831758,0.0015908186858170925
M3,2026240002,315.0,95636.038898168,95817.640906777,0.001895287828946694
M3,2026240002,322.0,95209.050175888,95626.3851817,0.004364224424242516
M3,2026240002,329.0,94996.732379683,95629.887924094,0.0066208960206412025
M3,2026240002,336.0,95044.497650257,95275.292913824,0.002422404135516504
M3,2026240002,343.0,100095.055051401,100876.079327477,0.007742413080315492
M3,2026240002,350.0,101157.340242506,101433.410103324,0.0027216856905114403
M3,2026240002,357.0,98749.67204311,99230.764476397,0.004848218552235763
M3,2026240002,360.0,42416.205778847,42104.575839222,0.007401331884091824
M3,2026240003,7.0,95701.718501091,95715.755693974,0.0001466549867493009
M3,2026240003,14.0,92882.598745028,93161.483151061,0.002993559104042935
M3,2026240003,21.0,91811.362324106,91349.021618799,0.0050612551411481155
M3,2026240003,28.0,92373.444423538,92650.441813508,0.002989703929610545
M3,2026240003,30.0,25207.042032383,25243.38904655,0.0014398626943464225
M3,2026240003,35.0,63009.547473138,62521.758324043,0.00780191028164698
M3,2026240003,42.0,86977.55373518,86393.765373539,0.006757297347984338
M3,2026240003,49.0,85871.925637252,85416.134120364,0.005336129076571426
M3,2026240003,56.0,87225.630932703,86970.492256593,0.00293362345653113
M3,2026240003,63.0,83012.211644177,83361.287056766,0.004187500276372733
M3,2026240003,70.0,84260.877232182,84662.438139549,0.004743082247467446
M3,2026240003,77.0,80833.951205194,81422.127126862,0.0072237847673960135
M3,2026240003,84.0,81309.007317337,80822.81549405,0.006015526931535822
M3,2026240003,90.0,71394.836629313,71345.798148932,0.0006873352272075635
M3,2026240003,91.0,11495.722683565,11463.691038015,0.002794182558111416
M3,2026240003,98.0,79964.29633644,80089.858781395,0.0015677695886281483
M3,2026240003,105.0,79274.032143031,79877.039139549,0.007549190643690722
M3,2026240003,112.0,80133.289826618,79728.986589724,0.005070969219444628
M3,2026240003,119.0,79156.325086459,79626.537274089,0.005905219587930242
M3,2026240003,126.0,79973.989444263,79555.913207746,0.005255124599290029
M3,2026240003,133.0,79269.903736785,79507.357025508,0.002986557440801617
M3,2026240003,140.0,82271.623682084,81803.281855473,0.005725220504459023
M3,2026240003,147.0,79152.179802661,79451.192158007,0.0037634722302384697
M3,2026240003,154.0,79952.343375433,79435.547761535,0.006505848180834922
M3,2026240003,161.0,81490.389899467,81868.7695052,0.004621782005761921
M3,2026240003,168.0,78769.136057752,79370.365787633,0.007574990034563766
M3,2026240003,175.0,78778.553014987,79412.493366505,0.007982879325954881
M3,2026240003,180.0,56278.107183948,56721.037851688,0.007808930945483754
M3,2026240003,182.0,22782.213977742,22688.023925656,0.004151531768242196
M3,2026240003,189.0,79298.138364089,79406.713781828,0.001367332969316905
M3,2026240003,196.0,82360.180895155,81801.895729261,0.006824843861097752
M3,2026240003,203.0,79142.156883609,79404.007702074,0.003297702799176958
M3,2026240003,210.0,79942.961036888,79403.255280181,0.006797023054062505
M3,2026240003,217.0,79269.254039671,79402.740296384,0.0016811290922044279
M3,2026240003,224.0,82104.658077313,81618.596621047,0.00595527828691739
M3,2026240003,231.0,79169.109392167,79402.146469673,0.002934896446344894
M3,2026240003,238.0,81262.387856158,81522.94166092,0.0031960795262481905
M3,2026240003,245.0,81874.310390805,81522.828534652,0.004311453153316398
M3,2026240003,252.0,79405.754638506,79401.790659716,4.992304023699107e-05
M3,2026240003,259.0,78791.426635625,79401.737607138,0.007686367954977
M3,2026240003,266.0,78833.426084441,79401.701271035,0.00715696486973504
M3,2026240003,273.0,78941.448629132,79401.676381974,0.005796196929495518
M3,2026240003,280.0,80077.39274175,79401.659332321,0.008510318488444185
M3,2026240003,287.0,79960.032068389,79401.647651917,0.00703240339444676
M3,2026240003,294.0,79287.598436872,79401.639649256,0.0014362576501916798
M3,2026240003,301.0,78835.785783924,79401.634165932,0.007126407257884655
M3,2026240003,308.0,81885.356570791,81617.839241709,0.0032776820798912547
M3,2026240003,315.0,78946.130293289,79401.627833691,0.005736627230817744
M3,2026240003,322.0,79575.670113489,79401.626069056,0.0021919455941825997
M3,2026240003,329.0,79646.505245416,79401.624859621,0.00308407272808253
M3,2026240003,336.0,79654.283339498,79401.624030648,0.0031820420795482815
M3,2026240003,343.0,79079.749948266,79401.62346242,0.004053739711082031
M3,2026240003,350.0,79983.532008872,79401.623072903,0.00732867809811286
M3,2026240003,357.0,82295.398794188,81833.447500619,0.005645018115184573
M3,2026240003,360.0,33898.821896682,34029.266856909,0.003833316796847738
M3,2026240004,7.0,93172.454586389,93463.705642849,0.003116194189570877
M3,2026240004,14.0,90682.492350532,90855.089723372,0.0018996995475488348
M3,2026240004,21.0,88400.33716202,88970.500118867,0.00640844949826337
M3,2026240004,28.0,87798.421212613,87676.794869942,0.0013872124642720421
M3,2026240004,30.0,24792.631963951,24874.29845327,0.0032831675422895445
M3,2026240004,35.0,62204.730118921,61921.755206617,0.0045698787342151395
M3,2026240004,42.0,86477.589976276,86198.603744485,0.00323655163392192
M3,2026240004,49.0,85971.121628201,85793.54325256,0.0020698337999427
M3,2026240004,56.0,87971.653183039,88024.420483183,0.0005994620567150357
M3,2026240004,63.0,84274.765776988,84767.003311103,0.005806947454641576
M3,2026240004,70.0,83528.556968549,83804.260733363,0.0032898537902648238
M3,2026240004,77.0,82404.018357941,83072.911951551,0.008051885721787486
M3,2026240004,84.0,82947.703664082,82528.375625241,0.005081016506918329
M3,2026240004,90.0,70882.150706872,70417.022081474,0.006605343589506364
M3,2026240004,91.0,11784.471273035,11713.033457644,0.0060990020774148316
M3,2026240004,98.0,81946.908810462,81842.948744833,0.001270238514415231
M3,2026240004,105.0,81214.30600528,81638.397111675,0.005194750526702288
M3,2026240004,112.0,82049.585589688,81493.943276469,0.006818203793795739
M3,2026240004,119.0,80966.726816462,81392.589670742,0.005232206715657354
M3,2026240004,126.0,81770.315021367,81321.805661597,0.00551524103678142
M3,2026240004,133.0,81081.276566916,81272.530975984,0.002353247853503144
M3,2026240004,140.0,80618.160521556,81238.305308202,0.007633649967134362
M3,2026240004,147.0,81632.415887566,81214.567442195,0.0051449937927505185
M3,2026240004,154.0,80700.467544696,81198.119078589,0.006128855440744179
M3,2026240004,161.0,81586.883637864,81186.728198944,0.0049288282432005635
M3,2026240004,168.0,80952.451175306,81178.842147595,0.0027887928221171586
M3,2026240004,175.0,80528.385691966,81173.383184754,0.007945923497114251
M3,2026240004,180.0,58290.549440464,57978.598724393,0.005380445939266086
M3,2026240004,182.0,23270.761327968,23191.005557286,0.0034390820391547697
M3,2026240004,189.0,80830.468414652,81166.988105105,0.004146016728096834
M3,2026240004,196.0,81387.005114999,81165.176583604,0.002733050560994095
M3,2026240004,203.0,80815.704131826,81163.921949887,0.004290303002804518
M3,2026240004,210.0,81766.067704285,81163.052780897,0.007429672772608383
M3,2026240004,217.0,80789.557456211,81162.450472768,0.00459440313081873
M3,2026240004,224.0,81646.736000597,81162.032958169,0.005972041664823885
M3,2026240004,231.0,80992.220550511,81161.743441916,0.0020887044094403317
M3,2026240004,238.0,80554.384028151,81161.542610533,0.00748086547954789
M3,2026240004,245.0,81585.998114938,81161.403244715,0.005231487545167072
M3,2026240004,252.0,80658.390750117,81161.306493713,0.006196496401089239
M3,2026240004,259.0,81552.62542665,81161.239298595,0.004822328138867883
M3,2026240004,266.0,80928.166857736,81161.19260991,0.0028711474619896797
M3,2026240004,273.0,80510.940274132,81161.160154562,0.008011466065686408
M3,2026240004,280.0,81555.769760577,81161.137582534,0.004862329309291572
M3,2026240004,287.0,80648.9847223,81161.121876216,0.006310129062743807
M3,2026240004,294.0,81547.820159537,81161.110941512,0.004764710752957561
M3,2026240004,301.0,80923.445274137,81161.103324598,0.002928225969409343
M3,2026240004,308.0,80506.771337017,81161.098015742,0.008062072775285643
M3,2026240004,315.0,81552.408771379,81161.094313342,0.004821453694626759
M3,2026240004,322.0,80646.440804333,81161.09172968,0.006341104023848357
M3,2026240004,329.0,81545.793105088,81161.08992552,0.004739995235660695
M3,2026240004,336.0,80921.728450085,81161.088664842,0.002949199162981329
M3,2026240004,343.0,80505.563267257,81161.0877833,0.008076832555438894
M3,2026240004,350.0,81551.849148171,81161.087166421,0.004814646961896113
M3,2026240004,357.0,80635.664225653,81161.08673442,0.006473822984730466
M3,2026240004,360.0,35039.614263885,34783.322787486,0.007368228675703273
M3,2026240005,7.0,110973.628291498,110523.620958914,0.004071594186651528
M3,2026240005,14.0,108520.202218978,108955.788691207,0.003997827719493639
M3,2026240005,21.0,105042.800347456,104911.969684911,0.00124705181818551
M3,2026240005,28.0,105005.979069809,104551.263489212,0.0043492117208503685
M3,2026240005,30.0,28992.199928159,29134.852741367,0.004896294293104733
M3,2026240005,35.0,72683.767383869,72729.761668407,0.0006323997698177334
M3,2026240005,42.0,106528.075602604,106804.678755911,0.0025898037101832728
M3,2026240005,49.0,103259.099782503,103468.928239226,0.002027936891719464
M3,2026240005,56.0,100901.477564992,100813.97574819,0.0008679532391477409
M3,2026240005,63.0,101813.693556655,101840.679086132,0.00026497790194610223
M3,2026240005,70.0,97861.445491904,98185.924382222,0.0033047393744021535
M3,2026240005,77.0,99484.267677301,100268.229091852,0.007818642272347711
M3,2026240005,84.0,98890.262850363,98569.427088714,0.003254921643809886
M3,2026240005,90.0,81652.429645868,81277.404935276,0.004614132438045284
M3,2026240005,91.0,13556.371330359,13445.582833811,0.008239768994573002
M3,2026240005,98.0,93876.281585467,93446.560147197,0.00459857952602115
M3,2026240005,105.0,92420.069169451,92498.383228189,0.000846653271169151
M3,2026240005,112.0,91274.942173423,91828.728019267,0.006030638317540563
M3,2026240005,119.0,91936.907609719,91376.561999079,0.006132268476522951
M3,2026240005,126.0,93755.626755921,93447.467340592,0.0032976754116388167
M3,2026240005,133.0,93664.932820566,93174.869164086,0.005259611962716734
M3,2026240005,140.0,90908.154868023,90731.389842599,0.0019482234949850551
M3,2026240005,147.0,90586.226889134,90706.582848842,0.0013268712802085678
M3,2026240005,154.0,90302.137950156,90662.42790485,0.003973972052371308
M3,2026240005,161.0,90125.611310329,90635.391958845,0.005624520813541287
M3,2026240005,168.0,89978.983009908,90618.836791699,0.007060935722026497
M3,2026240005,175.0,90256.088221078,90608.681668472,0.0038913870161371893
M3,2026240005,180.0,64307.952879536,64689.602667456,0.005899708333067195
M3,2026240005,182.0,25628.333221407,25775.75660338,0.005719458956780652
M3,2026240005,189.0,89590.211688425,89631.485639585,0.00046048496089822247
M3,2026240005,196.0,88959.396203936,88879.485339038,0.0008990923450240195
M3,2026240005,203.0,88017.139442819,88306.490870045,0.003276672239777109
M3,2026240005,210.0,87453.52507386,87879.846596059,0.004851186463246675
M3,2026240005,217.0,86903.369332145,87568.257668615,0.007592800795308064
M3,2026240005,224.0,87960.281288875,87344.193892777,0.007053558669902129
M3,2026240005,231.0,87617.01674625,87184.981856014,0.004955382005464014
M3,2026240005,238.0,89218.332050745,89260.52895611,0.0004727386881805117
M3,2026240005,245.0,86711.181023944,86994.406883972,0.0032556789588295454
M3,2026240005,252.0,86392.914233702,86939.774527586,0.006290104809398673
M3,2026240005,259.0,86437.865242083,86901.855011529,0.005339238953926105
M3,2026240005,266.0,89718.960526069,89330.499218932,0.004348585427525175
M3,2026240005,273.0,89152.291827381,89312.346041267,0.0017920726638625717
M3,2026240005,280.0,88541.328777588,89032.579971934,0.005517656508447315
M3,2026240005,287.0,86531.337535038,86836.258096255,0.003511442891505188
M3,2026240005,294.0,87514.217647171,86830.292707788,0.007876570699636178
M3,2026240005,301.0,86944.278746473,86826.180224943,0.0013601717963872342
M3,2026240005,308.0,86576.439437682,86823.345835294,0.0028437788850062995
M3,2026240005,315.0,86556.304472916,86821.392664499,0.0030532589198075566
M3,2026240005,322.0,86111.922380058,86820.046895929,0.008156232819360664
M3,2026240005,329.0,86967.843856724,86819.119710046,0.0017130344925714203
M3,2026240005,336.0,86582.236271956,86818.480945054,0.0027211334559921214
M3,2026240005,343.0,86565.767344058,86818.040895789,0.0029057733753036436
M3,2026240005,350.0,86110.516594381,86817.737748979,0.008146044494303959
M3,2026240005,357.0,86968.324014671,86817.528915514,0.001736919963521899
M3,2026240005,360.0,37150.393374611,37207.465361329,0.001533885368534625
M3,2026240006,7.0,109913.68646745,109558.445505061,0.003242479032550602
M3,2026240006,14.0,114390.737565847,114722.235714377,0.0028895718991681506
M3,2026240006,21.0,107615.543838181,107362.49659704,0.0023569425931920583
M3,2026240006,28.0,109835.79665302,109300.156976304,0.004900630443121224
M3,2026240006,30.0,30599.262683221,30395.806641702,0.006693556249955357
M3,2026240006,35.0,76395.96769678,75851.900498406,0.0071727563159137515
M3,2026240006,42.0,105074.686458005,105711.747162428,0.00602639462049703
M3,2026240006,49.0,105755.064163731,106329.240763901,0.0053999877742467225
M3,2026240006,56.0,106088.251590242,106487.503302664,0.003749282310500137
M3,2026240006,63.0,100410.867815653,100704.774916574,0.0029185021382003083
M3,2026240006,70.0,99272.225305027,99700.981751213,0.004300423512938834
M3,2026240006,77.0,98466.732843964,98935.577344669,0.004738886791671067
M3,2026240006,84.0,97871.25867921,98306.594877217,0.004428351918309406
M3,2026240006,90.0,83554.21239516,83921.235937787,0.004373428709976249
M3,2026240006,91.0,13901.540249539,13963.854193452,0.004462517514843406
M3,2026240006,98.0,97157.668101165,97607.881236969,0.004612467047727219
M3,2026240006,105.0,96953.056152738,97426.240565306,0.00485684770162933
M3,2026240006,112.0,99127.993073943,99735.209150422,0.006088281978365241
M3,2026240006,119.0,99354.028881592,99335.535828033,0.00018616755227479547
M3,2026240006,126.0,99461.573438834,99407.959671436,0.0005393307294025212
M3,2026240006,133.0,101020.79265402,101254.128898792,0.002304461529714301
M3,2026240006,140.0,99174.412810161,99397.540350483,0.002244799413901411
M3,2026240006,147.0,97195.000377868,97096.413658872,0.0010153487166102869
M3,2026240006,154.0,99028.610551754,99220.693639528,0.0019359176067832407
M3,2026240006,161.0,99002.780823807,99323.151784597,0.003225541628851911
M3,2026240006,168.0,96773.011105309,97069.704901346,0.0030565025034180186
M3,2026240006,175.0,96678.390519159,97065.322988096,0.003986310012943035
M3,2026240006,180.0,69001.442929274,69330.37910957,0.004744473988468356
M3,2026240006,182.0,27588.190820949,27731.777591907,0.005177698057116421
M3,2026240006,189.0,99070.496318722,98662.120292377,0.004139136936595387
M3,2026240006,196.0,95048.392882052,94869.053553674,0.0018903880839975192
M3,2026240006,203.0,93757.311947176,93698.227017741,0.0006305874861838884
M3,2026240006,210.0,92698.884381917,92809.614392798,0.0011930877162398164
M3,2026240006,217.0,93935.508939633,94321.302409451,0.0040902050752359715
M3,2026240006,224.0,91304.79500287,91664.181251809,0.003920683565063848
M3,2026240006,231.0,90941.218938628,91404.368751554,0.005067042410028412
M3,2026240006,238.0,90649.882870381,91201.234650553,0.006045442063197526
M3,2026240006,245.0,91667.435924234,91069.039556384,0.00657079915155482
M3,2026240006,252.0,93084.751840952,93002.902217543,0.0008800760133005703
M3,2026240006,259.0,90845.227867366,90929.804834915,0.0009301347088839822
M3,2026240006,266.0,90594.601708476,90895.390867908,0.00330917944859411
M3,2026240006,273.0,90793.079959445,90873.623814122,0.0008863281917945334
M3,2026240006,280.0,90997.439632394,90859.88483305,0.0015139222286793235
