factor_starting_structure,factor_channels,factor_channel_count,factor_dose_regime,factor_intensity,factor_normalized_total_effort,n,mean_gain_q_vs_control,median_gain_q_vs_control,gain_q_boot95_lo,gain_q_boot95_hi,mean_gain_capability_vs_control,median_gain_capability_vs_control,gain_capability_boot95_lo,gain_capability_boot95_hi
forcegen_constrained,forcegen+logistics,2,equal_channel_dose,1.0,2.0,16,0.2581838216875,0.12628815300000001,0.11623414092343749,0.41025589462031253,0.12709611056249998,0.05412800099999998,0.05803394661406251,0.20832177133906246
forcegen_constrained,forcegen+logistics,2,equal_total_effort,0.5,0.5,16,0.06689828362500003,0.029725242500000026,-0.048488066792187486,0.1845033417125,0.05641827862500001,0.03929197100000004,-0.0028473388999999878,0.12043106432500002
forcegen_constrained,forcegen+logistics,2,equal_total_effort,1.0,1.0,16,0.11634500475000001,0.05537700200000001,0.021588783292187514,0.22231711268124998,0.08805733,0.01671111350000004,0.01716967194531252,0.16913894179687503
forcegen_constrained,forcegen+logistics+command,3,equal_channel_dose,0.5,1.5,16,0.04845507693750001,0.02732076250000004,-0.14100874148281248,0.2337446174359374,0.06553156137499999,0.037770445999999985,0.009194915999999966,0.13243003391875
forcegen_constrained,forcegen+logistics+command,3,equal_channel_dose,1.0,3.0,16,0.20488747612500002,0.1933539225,0.023189556418750007,0.3786130702640623,0.12695643112500002,0.060784699,0.05826895137656249,0.20646520989531247
forcegen_constrained,forcegen+logistics+command,3,equal_total_effort,0.5,0.5,16,0.07851175706249999,0.024800382500000023,-0.09484215608124998,0.24433254770624996,0.0783619844375,0.02586986699999999,0.0159193698890625,0.14942484480468746
forcegen_constrained,forcegen+logistics+command,3,equal_total_effort,1.0,1.0,16,0.12211536881250001,0.05037651749999997,0.029573646545312502,0.2292731451078124,0.08743119712500001,0.023393235499999998,0.008968586451562522,0.17251591905625
forcegen_constrained,logistics,1,single_reference,0.5,0.5,16,0.07230716912500001,0.015547535000000001,-0.018762531628124978,0.17943357845625,0.0880570239375,0.016710775499999997,0.017169344387500007,0.16913862505468752
forcegen_constrained,logistics,1,single_reference,1.0,1.0,16,0.1832287386875,0.053762593000000025,0.04429619402187501,0.33799628421562494,0.1270954398125,0.05412715299999998,0.05803324861718749,0.20832108059062496
forcegen_constrained,logistics+command,2,equal_channel_dose,0.5,1.0,16,-0.017015117374999986,0.005912475500000014,-0.20314530712499998,0.16155049122031248,0.065531233375,0.03777024700000001,0.009194627329687514,0.13242974401249996
